feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),3.86959794506424,-0.0905774289836923,3.1443316655209,0.00176665661967351,0.0231024327188075,-1.38938523320645,2.31e-02,1.77e-03
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I,0.466624017172153,7.71489831543319,3.13595327777895,0.00181686724435874,0.0231650573655739,-2.83390804597874,2.32e-02,1.82e-03
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,0.4966008404498,7.49169979867388,3.11702373014983,0.00193519016222031,0.0237731131068805,-2.76579747581277,2.38e-02,1.94e-03
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,0.440759714802745,7.91191629892416,3.10546619951047,0.00201088087070704,0.0237731131068805,-3.04991430582133,2.38e-02,2.01e-03
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,0.559269672843219,7.03067068393111,3.09949968076819,0.0020510136798093,0.0237731131068805,-2.59356192496072,2.38e-02,2.05e-03
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,0.559269672843219,7.03067068393111,3.09949968076819,0.0020510136798093,0.0237731131068805,-2.59356192496072,2.38e-02,2.05e-03
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,0.385118291873904,8.32807990237852,3.07449804275844,0.00222732717112349,0.0252430412727329,-3.4150887974461,2.52e-02,2.23e-03
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0.709464848590729,7.1053377808465,3.02959981559321,0.00257932896464458,0.0285969080862768,-2.90759550295561,2.86e-02,2.58e-03
P23-PWY: reductive TCA cycle I,3.92893125554467,-0.467396072451482,3.01937186866841,0.00266634307784504,0.0289326589298079,-1.70979717076604,2.89e-02,2.67e-03
FAO-PWY: fatty acid &beta;-oxidation I (generic),4.18090704367031,-0.570644595273049,2.95397761314008,0.00328932272669283,0.0349490539711113,-1.89661735902104,3.49e-02,3.29e-03
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation),4.76700783078162,-2.11845409990352,2.79970230578657,0.00531875403104318,0.0553584603231025,-2.23222119733628,5.54e-02,5.32e-03
P221-PWY: octane oxidation,4.22590025012348,-1.53903755824171,2.7835781295553,0.00558600647742641,0.0565453747536257,-2.2688710096654,5.65e-02,5.59e-03
KETOGLUCONMET-PWY: ketogluconate metabolism,3.99407398392601,-0.380319448334933,2.77955606736819,0.00565453747536257,0.0565453747536257,-2.32135359273815,5.65e-02,5.65e-03
PWY-4702: phytate degradation I,4.30627432137179,-1.25371129138139,2.7714480253804,0.00579500603050262,0.0568356360683911,-2.31298292317332,5.68e-02,5.80e-03
PWY-181: photorespiration,3.34896098489508,-5.03703443725809,2.6564520480327,0.00815669615284071,0.0784889629801653,-2.61095792485274,7.85e-02,8.16e-03
P165-PWY: superpathway of purines degradation in plants,4.18627799719973,-4.98731687522899,2.62202763434101,0.00901532299073466,0.0851447171347162,-2.69071106855482,8.51e-02,9.02e-03
"PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)",3.57738087786144,-0.32947020652383,2.60594611162332,0.00944350476387103,0.0875159480890097,-2.73453330909214,8.75e-02,9.44e-03
PWY-4321: L-glutamate degradation IV,-2.132281959476,-3.10962136858665,-2.59988336816868,0.00960959429996969,0.0875159480890097,-3.24517947811731,8.75e-02,9.61e-03
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),0.581103994257839,8.12436122973654,2.51019810148052,0.0123904824492854,0.110862211388343,-4.87948367125223,1.11e-01,1.24e-02
PWY-5173,2.64055258397684,1.76843227905778,2.48852541730702,0.0131615133434484,0.115730548364805,-3.18939287453517,1.16e-01,1.32e-02
TRPSYN-PWY: L-tryptophan biosynthesis,0.434037815265967,7.87865597539766,2.41223581409226,0.0162248549676724,0.140248746330728,-4.81706501421107,1.40e-01,1.62e-02
PWY-5265: peptidoglycan biosynthesis II (staphylococci),3.04710939174538,0.751327856212656,2.40398595199611,0.0165911365611482,0.141024660769759,-3.36709005383246,1.41e-01,1.66e-02
PWY-5918: superpathway of heme b biosynthesis from glutamate,2.21403179299735,2.01123604282006,2.38556549742025,0.0174353733453249,0.145771154198618,-3.54675872116626,1.46e-01,1.74e-02
PWY66-398: TCA cycle III (animals),3.06061731099381,0.924421207823857,2.35003243935462,0.0191711946652648,0.157698536762662,-3.33612904641962,1.58e-01,1.92e-02
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,4.15323512397145,-1.92336486415859,2.33961920691971,0.0197077992312788,0.159539327110352,-3.23835799740299,1.60e-01,1.97e-02
P161-PWY: acetylene degradation (anaerobic),1.36647102970617,4.4308129947626,2.316572653182,0.0209424092336783,0.166361730072943,-3.86344386744547,1.66e-01,2.09e-02
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),0.389291289610617,8.86809229541752,2.31186122981143,0.021202965597532,0.166361730072943,-5.77156055265248,1.66e-01,2.12e-02
PWY-7219: adenosine ribonucleotides de novo biosynthesis,0.531753585065728,9.51902691895181,2.29996391382296,0.0218735685555961,0.16675180625486,-6.42784600099301,1.67e-01,2.19e-02
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,0.64447042015784,7.75057326909387,2.29938599366006,0.0219066098413247,0.16675180625486,-5.21517062661738,1.67e-01,2.19e-02
PPGPPMET-PWY: ppGpp metabolism,1.43363160196316,3.83048240308842,2.25863611113948,0.024348955739387,0.178861955336655,-3.92416118829869,1.79e-01,2.43e-02
PWY-4221: superpathway of coenzyme A biosynthesis II (plants),1.61812215725918,-5.05784206833116,2.25755078135272,0.0244171193625751,0.178861955336655,-3.42413114465308,1.79e-01,2.44e-02
LACTOSECAT-PWY: lactose and galactose degradation I,1.25270994947368,5.38029398805081,2.25112682232656,0.0248239793554532,0.178861955336655,-4.19929585128488,1.79e-01,2.48e-02
PWY-7269: mitochondrial NADPH production (yeast),4.49944227518451,-2.183980627278,2.24504083717111,0.0252148539941982,0.178861955336655,-3.42219429943751,1.79e-01,2.52e-02
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,0.464102866400469,7.36014866444676,2.24448064653045,0.0252510995769395,0.178861955336655,-4.99518022290279,1.79e-01,2.53e-02
PWY-5189: tetrapyrrole biosynthesis II (from glycine),2.40302937357076,1.51266497900183,2.2296223078789,0.0262291167928015,0.183244514579846,-3.70780654280438,1.83e-01,2.62e-02
PWY66-367: ketogenesis,3.65879343726745,-1.52749123629691,2.22241677998462,0.0267151150489183,0.184117684796599,-3.46355106204032,1.84e-01,2.67e-02
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,3.0253804524434,0.797308125479673,2.2083207406751,0.0276884579392614,0.188281513986978,-3.64247493656509,1.88e-01,2.77e-02
VALDEG-PWY: L-valine degradation I,3.55911636501275,-4.94982904515565,2.15889402356441,0.0313476312396689,0.209500929430781,-3.5416451827483,2.10e-01,3.13e-02
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),1.64556420042351,4.23277783265781,2.15528349459041,0.0316305324826865,0.209500929430781,-4.45987249602517,2.10e-01,3.16e-02
PWY-3841: folate transformations II (plants),0.314949565476113,8.96978251450936,2.14392991427769,0.0325344931954459,0.212725532431761,-6.18489870572688,2.13e-01,3.25e-02
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),1.23496239553119,4.63530153261735,2.11275044514987,0.0351319586644625,0.226801252137669,-4.30677852359175,2.27e-01,3.51e-02
PWY-6270: isoprene biosynthesis I,0.340698531614812,8.22061760382632,2.0800831549681,0.0380418516398416,0.24251680420399,-5.72860859746219,2.43e-01,3.80e-02
PWY490-3: nitrate reduction VI (assimilatory),-1.69480397263478,-3.75390764161721,-2.07124684702601,0.038863424534074,0.242545559544069,-4.4624430999242,2.43e-01,3.89e-02
GLYCOCAT-PWY: glycogen degradation I,1.75126372534123,4.72868990555974,2.06981973350575,0.0389975213384582,0.242545559544069,-4.8123769068496,2.43e-01,3.90e-02
1CMET2-PWY: folate transformations III (E. coli),0.297839418074252,8.84554616903747,2.04921300414902,0.0409781723392387,0.251793589072431,-6.2204125070047,2.52e-01,4.10e-02
PWY-3941: &beta;-alanine biosynthesis II,1.26863577154262,-5.06022349141023,2.03992700581179,0.0418982838773684,0.254382437826879,-3.90361738155634,2.54e-01,4.19e-02
PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis,4.70027791134844,-2.94983155757816,1.98967032871399,0.0471877873317882,0.281066729167473,-3.86130810034627,2.81e-01,4.72e-02
PWY-7283: wybutosine biosynthesis,1.19876906893224,-5.06070526152907,1.98725298638734,0.0474558122260233,0.281066729167473,-4.01687885083165,2.81e-01,4.75e-02
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,1.61290341611154,4.01129630879951,1.97884572759475,0.0483979931719702,0.281066729167473,-4.6990451960999,2.81e-01,4.84e-02
PWY-6549: L-glutamine biosynthesis III,0.842674030568485,5.54937533499956,1.97796333357637,0.0484977885622306,0.281066729167473,-4.7830273945745,2.81e-01,4.85e-02
P124-PWY: Bifidobacterium shunt,2.40608507865075,3.65736108186353,1.96319503531253,0.0501939227213813,0.287628096493309,-4.5936055455497,2.88e-01,5.02e-02
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.325797610977816,9.02529920210396,1.92536383998942,0.0547676262982977,0.290795439477936,-6.66536045899034,2.91e-01,5.48e-02
GLUDEG-I-PWY: GABA shunt,1.3799505307633,3.89382092670547,1.92408312031128,0.0549283716401424,0.290795439477936,-4.62073789575419,2.91e-01,5.49e-02
PWY-5686: UMP biosynthesis I,0.364490873024427,9.1599814057581,1.9237236019917,0.0549735662735288,0.290795439477936,-6.81920755896004,2.91e-01,5.50e-02
PWY0-1533: methylphosphonate degradation I,-1.60947100720896,-3.54364535195914,-1.91694202173085,0.0558319137137031,0.290795439477936,-4.70888520930839,2.91e-01,5.58e-02
PWY-5022: 4-aminobutanoate degradation V,1.07183101334825,4.36141724202829,1.91682243684533,0.0558471495287217,0.290795439477936,-4.60301191255888,2.91e-01,5.58e-02
PWY-5080: very long chain fatty acid biosynthesis I,1.27576137965314,-5.05904826632122,1.91299976449016,0.0563360138294444,0.290795439477936,-4.08839426747744,2.91e-01,5.63e-02
PWY-6598: sciadonate biosynthesis,1.27576137965314,-5.05904826632122,1.91299976449016,0.0563360138294444,0.290795439477936,-4.08839426747744,2.91e-01,5.63e-02
PWY-7619: juniperonate biosynthesis,1.27576137965314,-5.05904826632122,1.91299976449016,0.0563360138294444,0.290795439477936,-4.08839426747744,2.91e-01,5.63e-02
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,0.313639376685112,8.91846083267024,1.91136751693093,0.0565458406533513,0.290795439477936,-6.63046341173312,2.91e-01,5.65e-02
PWY-7560: methylerythritol phosphate pathway II,0.330307424362689,8.15542964822308,1.91010133904973,0.0567090579454388,0.290795439477936,-6.01280743383194,2.91e-01,5.67e-02
PWY-6185: 4-methylcatechol degradation (ortho cleavage),-1.62914271892174,-3.64420041571097,-1.90770748448837,0.0570187136231247,0.290795439477936,-4.77927822779167,2.91e-01,5.70e-02
PWY-6588: pyruvate fermentation to acetone,1.04408993337834,4.02910450113011,1.88637460432288,0.0598410170394408,0.300100735683387,-4.53499739490067,3.00e-01,5.98e-02
PWY-5747: 2-methylcitrate cycle II,3.36429887035783,-1.39364208526867,1.88504910776289,0.0600201471366774,0.300100735683387,-4.04075652322129,3.00e-01,6.00e-02
NONMEVIPP-PWY: methylerythritol phosphate pathway I,0.343301411396335,8.9673060703664,1.8760417198758,0.0612492712132832,0.303273090473538,-6.67985324016788,3.03e-01,6.12e-02
P562-PWY: myo-inositol degradation I,-1.50729957063706,-3.85021033928671,-1.86315836951766,0.0630435782188533,0.304620209257818,-4.91230849203241,3.05e-01,6.30e-02
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,-1.62014939714376,-3.49070835292234,-1.86276460634349,0.0630990981507192,0.304620209257818,-4.79599466164285,3.05e-01,6.31e-02
PWY0-42: 2-methylcitrate cycle I,3.7065354928686,-2.0171496314617,1.86124867844388,0.0633132199633895,0.304620209257818,-4.06800732895888,3.05e-01,6.33e-02
PWY-4242,0.325062947702642,8.59989669608477,1.84714556525028,0.0653342667285534,0.306334798193281,-6.42504315192726,3.06e-01,6.53e-02
PWY-6803: phosphatidylcholine acyl editing,3.01492467459619,0.0826050033946558,1.84551565535339,0.0655712437520379,0.306334798193281,-4.21531932320771,3.06e-01,6.56e-02
PWY-7221: guanosine ribonucleotides de novo biosynthesis,0.325203655202582,9.10708067166225,1.8446693413329,0.0656945717434838,0.306334798193281,-6.8680875072231,3.06e-01,6.57e-02
PWY-5690: TCA cycle II (plants and fungi),0.605150156945851,5.72169257639115,1.84208600793754,0.0660722113750213,0.306334798193281,-5.08732156748579,3.06e-01,6.61e-02
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),0.963967337323022,4.0843274861555,1.80799526544214,0.071225902780826,0.323348813635907,-4.69017942954564,3.23e-01,7.12e-02
PWY-6906: chitin derivatives degradation,4.43821393894739,-4.80143224326963,1.80610733085211,0.0715207124827883,0.323348813635907,-4.08578349412645,3.23e-01,7.15e-02
SO4ASSIM-PWY: assimilatory sulfate reduction I,1.6380082337989,3.12941391499653,1.80532000651922,0.0716439528252107,0.323348813635907,-4.73515903428989,3.23e-01,7.16e-02
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.314558503586357,9.06072704892661,1.78519062821407,0.0748545518693184,0.334875626783793,-6.93860152163541,3.35e-01,7.49e-02
COA-PWY: coenzyme A biosynthesis I (prokaryotic),0.302773187654486,8.57873253323778,1.77517678690027,0.0764951155243327,0.338664926421858,-6.52147427955827,3.39e-01,7.65e-02
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",1.9685419686867,2.38140445743245,1.77178420694584,0.0770575459711316,0.338664926421858,-4.63137163020042,3.39e-01,7.71e-02
PWY0-1479: tRNA processing,1.02812704581189,5.03944290468511,1.76797112609121,0.0776937184144262,0.338664926421858,-5.21168195087066,3.39e-01,7.77e-02
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,0.79560476863827,5.80205519223083,1.76256673775323,0.078602727960072,0.339723654742684,-5.24385235800833,3.40e-01,7.86e-02
PWY-6123: inosine-5'-phosphate biosynthesis I,0.267494894600083,8.5880031531244,1.75487229499855,0.079911880861833,0.340627982380493,-6.6097441720207,3.41e-01,7.99e-02
P621-PWY: nylon-6 oligomer degradation,-2.87940453202057,-0.874864967129985,-1.75349687617451,0.0801477605601161,0.340627982380493,-4.28670492608894,3.41e-01,8.01e-02
PWY-5675: nitrate reduction V (assimilatory),2.99387156964014,-0.120182486677881,1.7385448858199,0.0827487674056851,0.348775796503301,-4.33671148488998,3.49e-01,8.27e-02
"PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis",1.04257820323521,-5.06070526152907,1.73167007926853,0.0839675094287557,0.351011719743159,-4.44744574116222,3.51e-01,8.40e-02
PWY-5083: NAD(P)/NADPH interconversion,3.54649694830489,-1.04244423858562,1.71658936284683,0.0866920427859496,0.35875125145269,-4.28532266769516,3.59e-01,8.67e-02
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,1.46639916024872,4.44416586862862,1.71200907537205,0.0875335659039962,0.35875125145269,-5.15910649560474,3.59e-01,8.75e-02
PWY5F9-12: biphenyl degradation,2.63417657010982,-4.84550836149113,1.70986785059929,0.0879292282972279,0.35875125145269,-4.33278221931299,3.59e-01,8.79e-02
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II,4.06122486956663,-4.74132223418145,1.7047435861511,0.0888819819874948,0.359760403282717,-4.21965405572233,3.60e-01,8.89e-02
CALVIN-PWY: Calvin-Benson-Bassham cycle,0.303511865246938,8.78636252894833,1.69718632707317,0.090302310942791,0.362631327408058,-6.84013649281937,3.63e-01,9.03e-02
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,0.286097429147158,8.98151834525716,1.68334400592966,0.0929513420086286,0.367482049801555,-7.0759326699152,3.67e-01,9.30e-02
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,0.286097429147158,8.98151834525716,1.68334400592966,0.0929513420086286,0.367482049801555,-7.0759326699152,3.67e-01,9.30e-02
PWY-6124: inosine-5'-phosphate biosynthesis II,0.262270860249531,8.52040726804115,1.67342007249434,0.0948887384808629,0.372255820194154,-6.68761734976175,3.72e-01,9.49e-02
PWY-6182: superpathway of salicylate degradation,-1.44654410361663,-3.82413129708999,-1.65743671501704,0.0980771815981696,0.379238359470171,-5.21629166553418,3.79e-01,9.81e-02
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,0.312534778360432,8.8428896297846,1.65704785285208,0.0981558106863971,0.379238359470171,-6.89825912606885,3.79e-01,9.82e-02
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),1.26395591335914,2.93867850036372,1.64567442070004,0.100477977545523,0.384731727740596,-4.85128717108173,3.85e-01,1.00e-01
PWY-6524: lychnose and isolychnose biosynthesis,-0.42737698659093,-5.0618025202759,-1.64272942712822,0.101086375524,0.384731727740596,-5.27480535151292,3.85e-01,1.01e-01
PWY-2723: trehalose degradation V,1.61464032860083,3.973118917232,1.6270098536869,0.104383788620782,0.394338757011844,-5.22641411884874,3.94e-01,1.04e-01
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),0.275267528916688,8.99952864666663,1.60861558958079,0.108350442706048,0.404606980078857,-7.16138340204724,4.05e-01,1.08e-01
PWY-7124: ethene biosynthesis V (engineered),-0.420517137530372,-5.07191312499097,-1.6040708547876,0.109348705416468,0.404606980078857,-5.33348844291433,4.05e-01,1.09e-01
PWY0-781: aspartate superpathway,1.1127930301934,5.68709149897029,1.6019125669933,0.109825326584021,0.404606980078857,-5.71569368202411,4.05e-01,1.10e-01
PWY-5499: vitamin B6 degradation,-0.427912161273885,-5.06161844311473,-1.59819708103595,0.110649684863874,0.404606980078857,-5.34383390646536,4.05e-01,1.11e-01
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,1.44525441763219,4.13981129240513,1.5963174527231,0.111068582766745,0.404606980078857,-5.32534837819283,4.05e-01,1.11e-01
PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway),-1.4427603001405,-3.82197431615117,-1.59038326979733,0.112399332159663,0.406550775896653,-5.32712785327376,4.07e-01,1.12e-01
TRNA-CHARGING-PWY: tRNA charging,0.314210728899334,9.04345433016305,1.5832338279064,0.114019318286617,0.409506002297003,-7.26172378766026,4.10e-01,1.14e-01
PWY-5791,-3.11208612127725,-0.0980050305911027,-1.56459324911206,0.118329838154179,0.41881775172212,-4.49020179024355,4.19e-01,1.18e-01
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,0.777746377499043,5.02531100965995,1.5607251065649,0.119240183629728,0.41881775172212,-5.27859916347197,4.19e-01,1.19e-01
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,-1.25182632870768,-4.18245324215818,-1.5507076558267,0.12162332975982,0.41881775172212,-5.40670190359312,4.19e-01,1.22e-01
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,0.318880341423728,8.31274215109219,1.54457738166509,0.123100045454964,0.41881775172212,-6.79096138293862,4.19e-01,1.23e-01
ARO-PWY: chorismate biosynthesis I,0.309387866582961,8.91252550102126,1.54083346543762,0.124008799139614,0.41881775172212,-7.12725699688647,4.19e-01,1.24e-01
PWY-5863: superpathway of phylloquinol biosynthesis,-3.08120962027778,-0.0912334729793563,-1.54075956885337,0.124026788620178,0.41881775172212,-4.51421613772109,4.19e-01,1.24e-01
PWY-5177: glutaryl-CoA degradation,-0.431046893589035,-5.0512123429216,-1.53285190733878,0.125963671683785,0.41881775172212,-5.4371419049558,4.19e-01,1.26e-01
PWY-6148: tetrahydromethanopterin biosynthesis,-0.429512923371532,-5.06097934538971,-1.52786591823176,0.127197025200934,0.41881775172212,-5.44442997027586,4.19e-01,1.27e-01
