feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
CALVIN-PWY: Calvin-Benson-Bassham cycle,0.124424398004831,8.78636252894833,5.26498267892148,2.10960564469602e-07,3.58632959598323e-06,5.79350673823845,3.59e-06,2.11e-07
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.111494494366466,9.06072704892661,4.94013164007965,1.07610564874415e-06,1.77036735761134e-05,3.9492479718166,1.77e-05,1.08e-06
PWY-5097: L-lysine biosynthesis VI,0.0981667458775913,8.87225861127367,4.90679723380285,1.26572584812401e-06,2.01725057044765e-05,3.97602512700144,2.02e-05,1.27e-06
NONMEVIPP-PWY: methylerythritol phosphate pathway I,0.114414127710509,8.9673060703664,4.85115061183718,1.65620183429655e-06,2.55958465300376e-05,3.63029112081203,2.56e-05,1.66e-06
PWY-6703: preQ0 biosynthesis,0.176048214772963,7.86525252705903,4.70297115210851,3.34671023541481e-06,5.02006535312221e-05,3.98111479850401,5.02e-05,3.35e-06
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),-0.211812539956222,7.89945082665491,-4.5483420526394,6.83799432542106e-06,9.96393458847069e-05,3.27191891976966,9.96e-05,6.84e-06
PWY-3841: folate transformations II (plants),0.0891057153468284,8.96978251450936,4.53013716778037,7.42829420610881e-06,0.000105234167919875,2.18729159975535,1.05e-04,7.43e-06
HISTSYN-PWY: L-histidine biosynthesis,-0.0913360970448664,8.62430150286172,-4.44564641302576,1.08692131309729e-05,0.000146431289206936,2.13567661146463,1.46e-04,1.09e-05
PWY-1042: glycolysis IV,0.105347763421983,9.20607725269254,4.44479670555744,1.09105666467913e-05,0.000146431289206936,1.59252087839548,1.46e-04,1.09e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),-0.0844335317934894,8.71751081241192,-4.41401141617679,1.25146875465726e-05,0.000163653606378257,1.91483012480023,1.64e-04,1.25e-05
PWY-3001: superpathway of L-isoleucine biosynthesis I,-0.0838273260639356,8.71164935270352,-4.28657767318737,2.18933209690258e-05,0.000279139842355079,1.38596964343209,2.79e-04,2.19e-05
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),0.150994937909037,8.2184553427313,4.25654888086793,2.49273472688317e-05,0.000310071880661077,1.83217268849027,3.10e-04,2.49e-05
PWY-5484: glycolysis II (from fructose 6-phosphate),-0.196029392875332,7.81508232343105,-4.24992830284984,2.56482759663029e-05,0.000311443351019392,2.07469563572774,3.11e-04,2.56e-05
PWY-6168: flavin biosynthesis III (fungi),0.187886349575815,8.01712265841238,4.11327861056985,4.58147235213977e-05,0.000543383930137507,1.45404983073072,5.43e-04,4.58e-05
PWY-4981: L-proline biosynthesis II (from arginine),0.40817243504984,6.72423115004634,4.10494231371715,4.74406986350266e-05,0.000549880825087809,1.79150807088113,5.50e-04,4.74e-05
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),0.187053320245329,7.80285144252215,3.84280671795917,0.000137791231939682,0.00156163396198307,0.547910505927787,0.00156,1.38e-04
PWY-6317: D-galactose degradation I (Leloir pathway),0.175037206721375,7.95872622987273,3.7607398629055,0.000190072331588609,0.0021073236763085,0.143478620636031,0.00211,1.90e-04
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,1.48624210683107,3.51437567739771,3.71072026071012,0.000230582120519558,0.00250206130776541,-0.7103877355756,0.0025,2.31e-04
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,0.0829135379785095,8.91846083267024,3.68251898472289,0.000256873048099375,0.00272927613605586,-1.13099255641443,0.00273,2.57e-04
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,0.117749152313415,7.91388002033245,3.49900774166836,0.000509979200913807,0.00530794678502126,-0.730007906934701,0.00531,5.10e-04
PWY-5265: peptidoglycan biosynthesis II (staphylococci),1.5007355122791,0.751327856212656,3.45072284485051,0.000607867132240405,0.00620024474885214,-2.17237709749332,0.0062,6.08e-04
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.0745834708670801,9.02529920210396,3.36495755377237,0.000826203341967236,0.00826203341967236,-2.32877276485697,0.00826,8.26e-04
HISDEG-PWY: L-histidine degradation I,0.177342276475785,7.52491905742551,3.27136243921562,0.00114646148709447,0.0112441415080419,-1.25744244837377,0.0112,0.00115
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0.525418303153692,3.34398866868677,3.26341623344441,0.0011783809799789,0.0113391377318724,-1.80578308044347,0.0113,0.00118
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),0.0752842235352256,8.86809229541752,3.17116645697988,0.0016143248199485,0.0152464010772914,-2.79652142664629,0.0152,0.00161
PWY-5656: mannosylglycerate biosynthesis I,1.16238680812858,-1.44879319737038,3.10746557563264,0.00199759494180628,0.0185231530967491,-2.75912739847913,0.0185,0.002
PWY-5384: sucrose degradation IV (sucrose phosphorylase),0.604173737539381,4.99911190160355,3.09165184628905,0.0021049233937988,0.0191698380506676,-1.60606150041325,0.0192,0.0021
TRNA-CHARGING-PWY: tRNA charging,0.0794660387595514,9.04345433016305,3.08509330685202,0.00215097310275174,0.0192455488140945,-3.22111860923398,0.0192,0.00215
GLUTORN-PWY: L-ornithine biosynthesis I,0.109084883328879,8.55285264597237,2.96287562949763,0.0031973767382168,0.0281148644222512,-3.07318817234154,0.0281,0.0032
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),1.21471632681448,-0.571086331762515,2.95717643207095,0.00325599374897853,0.0281450307115093,-3.00991721164602,0.0281,0.00326
PWY-6749: CMP-legionaminate biosynthesis I,1.02854401170149,-0.449269817821889,2.83975444913115,0.00470430363284414,0.0399865808791752,-3.17822372553785,0.04,0.0047
PWY-5686: UMP biosynthesis I,-0.0721563728377574,9.1599814057581,-2.81931224060466,0.00500936415742271,0.0415825895182741,-4.10338917958957,0.0416,0.00501
"PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)",0.353998703625722,-4.69013857281635,2.81111367521307,0.00513667282284562,0.0415825895182741,-2.20371040047531,0.0416,0.00514
"PWY-7159: 3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)",0.353998703625722,-4.69013857281635,2.81111367521307,0.00513667282284562,0.0415825895182741,-2.20371040047531,0.0416,0.00514
PWY0-42: 2-methylcitrate cycle I,0.929236539789383,-2.0171496314617,2.74546461596801,0.00626667509189709,0.049937567138555,-3.06802229242346,0.0499,0.00627
PWY-4722: creatinine degradation II,0.804465405444335,-2.68048637604988,2.68218411346852,0.00756361742444422,0.0593453059456393,-2.9772278880415,0.0593,0.00756
PWY-6588: pyruvate fermentation to acetone,0.368192537424499,4.02910450113011,2.66582780967496,0.00793593084255523,0.0613231019651995,-2.74598405281976,0.0613,0.00794
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.0529757941477466,8.66983341890701,2.65777973458768,0.00812510245780831,0.0618477948280931,-4.07643174135414,0.0618,0.00813
PWY0-1296: purine ribonucleosides degradation,0.110556913166694,8.33890599222118,2.60825598656122,0.00938090425600489,0.0698257489461808,-3.75788335411784,0.0698,0.00938
PWY-6124: inosine-5'-phosphate biosynthesis II,0.0579034887062405,8.52040726804115,2.60581706480972,0.00944701309271857,0.0698257489461808,-4.05502462276519,0.0698,0.00945
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,0.524454478823115,-4.09854995019141,2.57811640459203,0.0102276390384712,0.0745156558517191,-2.73925619758783,0.0745,0.0102
PWY-5505: L-glutamate and L-glutamine biosynthesis,-0.273410959991266,5.89049689016298,-2.5691648621556,0.0104919410343846,0.075222085022964,-2.76257473744223,0.0752,0.0105
PWY-4702: phytate degradation I,0.969931476989548,-1.25371129138139,2.56491347572677,0.0106195884738302,0.075222085022964,-3.43199083244079,0.0752,0.0106
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,0.76669508198398,-2.44665733794921,2.52554914912869,0.0118688982228747,0.0829196999132345,-3.2573885854041,0.0829,0.0119
PWY-7242: D-fructuronate degradation,-0.194215338337209,5.85053395065216,-2.48828085063514,0.01317045165861,0.0907693289985286,-2.9365223005066,0.0908,0.0132
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,-0.17348276927258,6.15760985539015,-2.44818191604017,0.0147108069185924,0.0989176513279549,-3.05583235522793,0.0989,0.0147
KETOGLUCONMET-PWY: ketogluconate metabolism,0.99423527474973,-0.380319448334933,2.44744194955928,0.014740669609656,0.0989176513279549,-3.60792138158698,0.0989,0.0147
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,0.789379038500961,2.630998722063,2.4245059857986,0.0156932626380238,0.103942388901196,-3.34996801707486,0.104,0.0157
PWY-5845: superpathway of menaquinol-9 biosynthesis,0.81497751000176,3.04862909708039,2.41727046412188,0.0160048431625691,0.104074738299824,-3.29947784448853,0.104,0.016
"PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis",0.410841044303117,-4.40775646939274,2.41459611746795,0.0161213810307571,0.104074738299824,-3.08019032968468,0.104,0.0161
METHANOGENESIS-PWY: methanogenesis from H2 and CO2,0.779636437389452,-2.79562163066633,2.36142303219124,0.0185989368202063,0.118568222228815,-3.31871706030502,0.119,0.0186
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III,0.882096966013928,0.32402211319946,2.35112015279442,0.0191158895340103,0.120359304473398,-3.66361026895118,0.12,0.0191
PWY-5918: superpathway of heme b biosynthesis from glutamate,0.788243324987934,2.01123604282006,2.33840270723582,0.0197713370655734,0.121812162514593,-3.52748619523505,0.122,0.0198
PWY-7219: adenosine ribonucleotides de novo biosynthesis,-0.0933830901372516,9.51902691895181,-2.33739067260661,0.0198243323308063,0.121812162514593,-5.48098170857129,0.122,0.0198
PWY-7413: dTDP-6-deoxy-&alpha;-D-allose biosynthesis,0.323110306755011,-4.68100469182255,2.30275024768842,0.0217148758746928,0.131840317810635,-3.336680473157,0.132,0.0217
SO4ASSIM-PWY: assimilatory sulfate reduction I,0.661382771041764,3.12941391499653,2.29507521092773,0.022154446354946,0.132904282677428,-3.46621537378838,0.133,0.0222
GLUCARDEG-PWY: D-glucarate degradation I,0.49385288025627,2.80183708982573,2.2906515783227,0.0224113104122723,0.132904282677428,-3.51340584398361,0.133,0.0224
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,0.668733067141749,4.01129630879951,2.28542951542411,0.0227178756352189,0.133173753723697,-3.37901780796194,0.133,0.0227
PWY490-3: nitrate reduction VI (assimilatory),-0.493099663152458,-3.75390764161721,-2.27460722118654,0.023364863285648,0.135410003132733,-3.34050419949952,0.135,0.0234
PWY0-41: allantoin degradation IV (anaerobic),0.56180002903347,-3.42684602781741,2.2612334112653,0.0241865048381422,0.137499275903297,-3.40334400097455,0.137,0.0242
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",0.198743601934323,6.75837898274729,2.25998327203482,0.0242645781005818,0.137499275903297,-3.63073698581132,0.137,0.0243
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),0.657892018171423,4.23277783265781,2.24191428213421,0.0254177279549436,0.142451002824409,-3.4280280300569,0.142,0.0254
LACTOSECAT-PWY: lactose and galactose degradation I,0.321280880931085,5.38029398805081,2.23553093686484,0.0258363294843151,0.143223130836964,-3.41891813762826,0.143,0.0258
PWY-6350: archaetidylinositol biosynthesis,0.674149792239854,-3.09334838617013,2.21530642246152,0.0272023220626679,0.147832142190893,-3.49892571910539,0.148,0.0272
PWY-6823: molybdopterin biosynthesis,0.702224134348688,-2.95171576175542,2.21465279305894,0.0272474928743998,0.147832142190893,-3.54618446856661,0.148,0.0272
PWY-5723: Rubisco shunt,0.953106972442322,0.537805474757313,2.19343022462062,0.0287498325902295,0.154341206537021,-3.81186297835672,0.154,0.0287
TCA: TCA cycle I (prokaryotic),0.206466615303489,6.28635899255289,2.1871669756756,0.0292066607576248,0.154851397634372,-3.63495288226033,0.155,0.0292
PWY66-388: ceramide degradation by &alpha;-oxidation,0.462432616111285,-4.03629314531413,2.18383639105116,0.0294521285696746,0.154851397634372,-3.50326156688163,0.155,0.0295
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,-0.0773445611675156,8.31274215109219,-2.17090120528275,0.0304224220098966,0.156495066444405,-4.78827245366461,0.156,0.0304
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),1.06404869727674,-0.286850111815673,2.17009755796158,0.0304836036468571,0.156495066444405,-3.87029151455295,0.156,0.0305
THRESYN-PWY: superpathway of L-threonine biosynthesis,-0.0429188909307744,8.49279808090126,-2.16745790129186,0.0306853071459618,0.156495066444405,-5.04933464118471,0.156,0.0307
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,0.651136338365043,-2.1272101613567,2.16226151185625,0.0310857386265596,0.156967591084608,-3.73356953433802,0.157,0.0311
PWY-5850: superpathway of menaquinol-6 biosynthesis,0.943365554989729,0.707806631520051,2.15775670234907,0.0314365096421414,0.157182548210707,-3.82457601878275,0.157,0.0314
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,0.899904741165587,0.407115487052949,2.15373130118271,0.0317528272793706,0.157222737014359,-3.84663800098028,0.157,0.0318
P161-PWY: acetylene degradation (anaerobic),0.357057267274454,4.4308129947626,2.14073086925504,0.0327931720286654,0.158011477857363,-3.58111970206532,0.158,0.0328
GALACTARDEG-PWY: D-galactarate degradation I,0.430564037297125,3.45235241365522,2.13835076154774,0.0329867748269194,0.158011477857363,-3.64959512597616,0.158,0.033
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0.430564037297125,3.45235241365522,2.13835076154774,0.0329867748269194,0.158011477857363,-3.64959512597616,0.158,0.033
PWY-7446: sulfoquinovose degradation I,0.625303810681315,-3.01896510475758,2.13534570848666,0.0332326131026757,0.158011477857363,-3.65172837324533,0.158,0.0332
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),0.458243847576273,2.93867850036372,2.1324808007604,0.0334684490610359,0.158011477857363,-3.70643320782527,0.158,0.0335
PWY-5920: superpathway of heme b biosynthesis from glycine,0.825740908456757,-0.956544229888925,2.12882973851972,0.0337710805616717,0.158011477857363,-3.9027610083094,0.158,0.0338
PWY-5647: 2-nitrobenzoate degradation I,-0.12092462367054,-5.01836980280655,-2.09885292156551,0.0363457508009202,0.166152387352169,-3.79701368040976,0.166,0.0363
P23-PWY: reductive TCA cycle I,0.821797427936376,-0.467396072451482,2.09826861231334,0.036397559463721,0.166152387352169,-3.94218075558359,0.166,0.0364
PWY-5690: TCA cycle II (plants and fungi),0.170610108999173,5.72169257639115,2.09724617364535,0.0364883674185155,0.166152387352169,-3.70198077079592,0.166,0.0365
PWY-6349: CDP-archaeol biosynthesis,0.701334556850698,-2.69923077211753,2.08850070347438,0.0372730389928374,0.168223450321655,-3.71931352521361,0.168,0.0373
PWY-6123: inosine-5'-phosphate biosynthesis I,0.0444926112828537,8.5880031531244,2.08175215978073,0.0378883477031799,0.169500502882647,-5.33873268334217,0.17,0.0379
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",0.805531544843881,-1.27392042778857,2.06902554496079,0.039072316792127,0.173277230991172,-3.94119703440945,0.173,0.0391
ARGORNPROST-PWY,0.668208219170692,1.14880275635796,2.03938255705939,0.0419527711371278,0.184447528275303,-3.93401469450688,0.184,0.042
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),0.298639996459061,5.3986908727709,2.03543980592001,0.0423491511056114,0.184598863793691,-3.77519448346023,0.185,0.0423
PWY-5896: superpathway of menaquinol-10 biosynthesis,0.881962549085164,0.675450601961152,2.01404300753158,0.0445560893269509,0.192572928446991,-3.96496259195691,0.193,0.0446
PWY-6803: phosphatidylcholine acyl editing,0.800099835952839,0.0826050033946558,1.9956091995159,0.0465347284023967,0.199434550295986,-4.01074564091076,0.199,0.0465
PWY-5005: biotin biosynthesis II,-0.494236663919258,3.12522620948149,-1.98918007493262,0.0472420411566519,0.199759593052683,-3.87561661977585,0.2,0.0472
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),0.904490005385289,0.389109581435712,1.98780996958862,0.0473939426654404,0.199759593052683,-3.99262890555411,0.2,0.0474
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),0.309436707816521,4.63530153261735,1.97214966481946,0.0491596347648541,0.204651119269287,-3.83475991623908,0.205,0.0492
PWY-6906: chitin derivatives degradation,0.228077043501531,-4.80143224326963,1.96702912316074,0.0497488549222222,0.204651119269287,-4.00035041050477,0.205,0.0497
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II,0.222353377294605,-4.74132223418145,1.96559300574274,0.0499151716128255,0.204651119269287,-3.99024416179328,0.205,0.0499
PWY-5705: allantoin degradation to glyoxylate III,0.557976367787833,-2.88292791306472,1.96348979538345,0.0501595880561977,0.204651119269287,-3.88352307990799,0.205,0.0502
PWY-5747: 2-methylcitrate cycle II,0.665013409679619,-1.39364208526867,1.95791745907001,0.0508120248914587,0.205667719798762,-4.02591543488606,0.206,0.0508
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,0.754904581203286,1.02840671393079,1.94493124145743,0.0523602283557396,0.210265483948246,-4.02321370373536,0.21,0.0524
UNMAPPED,0.0742619517501643,17.462938584932,1.94111653400211,0.0528224627928181,0.210464500190135,-4.0245155105465,0.21,0.0528
PWY-6263: superpathway of menaquinol-8 biosynthesis II,0.649640762108961,2.26262785792214,1.93195932165386,0.053946034810742,0.213275021344794,-3.97864346196302,0.213,0.0539
PWY66-422,0.100901892890109,7.90599074971409,1.9241507144297,0.0549198779329449,0.215454905736938,-4.85816954387267,0.215,0.0549
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,0.586101459266775,-3.00691118274162,1.91390707760566,0.0562196593859523,0.218870429670501,-3.92172791861631,0.219,0.0562
HSERMETANA-PWY: L-methionine biosynthesis III,0.065049323786665,8.17125398139856,1.90455806444858,0.0574282531055334,0.221675070798226,-5.20481065639511,0.222,0.0574
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",0.385674882472932,-3.94296746828572,1.90164391688995,0.0578093812081647,0.221675070798226,-3.95549343134073,0.222,0.0578
FERMENTATION-PWY: mixed acid fermentation,0.326719280913816,5.75471740824496,1.88996221676153,0.0593584102649919,0.225916337575716,-4.072474170471,0.226,0.0594
P221-PWY: octane oxidation,0.600137404044913,-1.53903755824171,1.85851420472827,0.0637009819911266,0.240648154188701,-4.11129747414762,0.241,0.0637
TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis,-0.144113908984536,5.87202620776649,-1.85207179815435,0.0646223312082608,0.242333742030978,-4.13558098123166,0.242,0.0646
PWY-7290: Escherichia coli serotype O86 O-antigen biosynthesis,-0.0977936992392582,-5.01553424901042,-1.84033477378144,0.0663292312563508,0.246919036063788,-4.2562685247089,0.247,0.0663
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0.213740719967877,5.45317387523895,1.81431564578817,0.0702462098799436,0.259605558251966,-4.13490331082054,0.26,0.0702
PWY-6107: chlorosalicylate degradation,-0.11596865139054,-5.00881300043693,-1.79723764950977,0.072919209013654,0.26754529925873,-4.32573337708152,0.268,0.0729
PWY-7616: methanol oxidation to carbon dioxide,0.477475520398697,-2.74746840232074,1.78777915390771,0.0744351959629277,0.26955012651748,-4.09113838388788,0.27,0.0744
PWY-7218: photosynthetic 3-hydroxybutanoate biosynthesis (engineered),-0.0917763039699953,-5.04265651425307,-1.78705181974106,0.0745528332689136,0.26955012651748,-4.34770654757865,0.27,0.0746
"PWY3DJ-35471: L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)",0.67038999098438,-1.57301745940167,1.78398081182797,0.0750512116970239,0.26955012651748,-4.17147954900669,0.27,0.0751
PWY-5028: L-histidine degradation II,-0.327527919948261,-4.29211076839261,-1.77173351541136,0.0770659753057937,0.274850681160523,-4.23357753259375,0.275,0.0771
PWY-5392: reductive TCA cycle II,0.602792875325238,-2.0871499488205,1.7542906753627,0.0800115575230953,0.283374266227629,-4.17373414750894,0.283,0.08
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,-0.124754155026109,5.67889626101063,-1.74143459902812,0.0822408002002709,0.285040667379938,-4.27281621170264,0.285,0.0822
PWY-5083: NAD(P)/NADPH interconversion,0.685409278384654,-1.04244423858562,1.73729115072689,0.0829699467610174,0.285040667379938,-4.22033135994187,0.285,0.083
PWY-7294: D-xylose degradation IV,0.359362430706314,-4.11893278841376,1.73500460141147,0.0833745686406551,0.285040667379938,-4.22925379553577,0.285,0.0834
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0.569845068386239,1.51266497900183,1.73239158278008,0.0838389230697183,0.285040667379938,-4.19445249126833,0.285,0.0838
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",0.358494269932046,5.01484680189182,1.72751664042416,0.0847108529990838,0.285040667379938,-4.20515341659701,0.285,0.0847
PWY-6167: flavin biosynthesis II (archaea),0.52806722705877,-3.30744678545363,1.72724632195737,0.0847594165582969,0.285040667379938,-4.16035285192559,0.285,0.0848
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus),0.299406752891293,-4.35314987202189,1.72477477816322,0.0852044854112686,0.285040667379938,-4.29028274865542,0.285,0.0852
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0.514906528958512,4.13981129240513,1.72460373801237,0.0852353558496449,0.285040667379938,-4.1615098274955,0.285,0.0852
FASYN-ELONG-PWY: fatty acid elongation -- saturated,0.150166068400838,6.90208048395911,1.7230721006953,0.0855122002139815,0.285040667379938,-4.68240881198358,0.285,0.0855
REDCITCYC: TCA cycle VI (Helicobacter),0.646051961310725,0.236325238563083,1.71896100526989,0.0862588893270985,0.285662555563768,-4.23305695554425,0.286,0.0863
